[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000033 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000034 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000035 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000036 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000037 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000038 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000039 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000040 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Generation 1 initiated.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Generation 1 started processing simulations.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000021 starting simulation.
[DEBUG] 2015-07-20 01:48:22.954 	 [AI] Specimen 1000021 finished simulation.
[DEBUG] 2015-07-20 01:48:22.954 	 [AI] Specimen 1000022 starting simulation.
[DEBUG] 2015-07-20 01:48:22.957 	 [AI] Specimen 1000022 finished simulation.
[DEBUG] 2015-07-20 01:48:22.957 	 [AI] Specimen 1000023 starting simulation.
[DEBUG] 2015-07-20 01:48:22.959 	 [AI] Specimen 1000023 finished simulation.
[DEBUG] 2015-07-20 01:48:22.959 	 [AI] Specimen 1000024 starting simulation.
[DEBUG] 2015-07-20 01:48:22.962 	 [AI] Specimen 1000024 finished simulation.
[DEBUG] 2015-07-20 01:48:22.962 	 [AI] Specimen 1000025 starting simulation.
[DEBUG] 2015-07-20 01:48:22.965 	 [AI] Specimen 1000025 finished simulation.
[DEBUG] 2015-07-20 01:48:22.965 	 [AI] Specimen 1000026 starting simulation.
[DEBUG] 2015-07-20 01:48:22.97 	 [AI] Specimen 1000026 finished simulation.
[DEBUG] 2015-07-20 01:48:22.97 	 [AI] Specimen 1000027 starting simulation.
[DEBUG] 2015-07-20 01:48:22.974 	 [AI] Specimen 1000027 finished simulation.
[DEBUG] 2015-07-20 01:48:22.974 	 [AI] Specimen 1000028 starting simulation.
[DEBUG] 2015-07-20 01:48:22.98 	 [AI] Specimen 1000028 finished simulation.
[DEBUG] 2015-07-20 01:48:22.98 	 [AI] Specimen 1000029 starting simulation.
[DEBUG] 2015-07-20 01:48:22.986 	 [AI] Specimen 1000029 finished simulation.
[DEBUG] 2015-07-20 01:48:22.986 	 [AI] Specimen 1000030 starting simulation.
[DEBUG] 2015-07-20 01:48:22.994 	 [AI] Specimen 1000030 finished simulation.
[DEBUG] 2015-07-20 01:48:22.994 	 [AI] Specimen 1000031 starting simulation.
[DEBUG] 2015-07-20 01:48:23.001 	 [AI] Specimen 1000031 finished simulation.
[DEBUG] 2015-07-20 01:48:23.002 	 [AI] Specimen 1000032 starting simulation.
[DEBUG] 2015-07-20 01:48:23.012 	 [AI] Specimen 1000032 finished simulation.
[DEBUG] 2015-07-20 01:48:23.012 	 [AI] Specimen 1000033 starting simulation.
[DEBUG] 2015-07-20 01:48:23.023 	 [AI] Specimen 1000033 finished simulation.
